Taxon,counts,CommonName,tms
Uromastyx dispar,6,Uromastyx,"Uromastyx,Uromastyx dispar,Uromastyx dispar flavifasciata,Tibesti Mountains,List of reptiles of Morocco,Indianapolis Zoo,List of reptiles of Sudan,List of near threatened reptiles,IUCN Red List near threatened species (Animalia),IUCN Red List vulnerable species (Animalia)"
Uromastyx princeps,6,Uromastyx princeps,"Uromastyx princeps,Uromastyx,Uromastyx ocellata,List of Latin and Greek words commonly used in systematic names,List of least concern reptiles,IUCN Red List vulnerable species (Animalia)"
Corallus caninus,6,Emerald tree boa,"Emerald tree boa,Corallus,Corallus batesii,Chlamydia pneumoniae,List of boine species and subspecies,Corallus hortulana,Green tree python,Elaphe carinata,List of snakes by scientific name,Rupununi"
Epicrates maurus,6,Epicrates maurus,"Epicrates maurus,Vertebrate,Snake,Boa constrictor,Squamata,Parthenogenesis,Epicrates (snake),Thelytoky,List of boine species and subspecies,List of snakes by scientific name"
Ovis punjabiensis,6,Urial,"Urial,Giraffidae,Giraffe,Wasnal"
Cacatua leadbeateri,6,Major Mitchell's cockatoo,"Major Mitchell's cockatoo,Cookie (cockatoo),Western corella,Cockatoo,Cross-fostering,List of birds of Victoria, Australia,Barmah National Park,Cacatuini,Indianapolis Zoo,Cacatuinae"
Eolophus roseicapilla,6,Galah,"Galah,Cockatoo,Talking bird,Parrots of New Zealand,Carnaby's black cockatoo,Cross-fostering,Wedge-tailed eagle,Gamilaraay language,List of birds of Australia,List of birds of New Zealand"
Colobus guereza,6,Mantled guereza,"Mantled guereza,Black-and-white colobus,Angola colobus,Black colobus,Ursine colobus,Zanzibar red colobus,List of primates,Red colobus,Mirror test,Kibale National Park"
Epipedobates anthonyi,6,Anthony's poison arrow frog,"Anthony's poison arrow frog,Epipedobates,Epibatidine,Median lethal dose,Dyeing poison dart frog,Tropicarium Kolmården,Phantasmidine,IUCN Red List near threatened species (Animalia),List of species described in 1921,List of near threatened amphibians"
Turbinaria spp.,6,Turbinaria (coral),"Turbinaria (coral),Laccadive Sea,List of marine cnidarians of South Africa,List of marine aquarium plant species,Coral reefs of Tuvalu,Ocean surface ecosystem"
Favia spp.,6,Stony corals,"List of marine cnidarians of South Africa,Florida Reef,St Croix East End Marine Park,2014 in paleontology,2021 in paleontology,List of the Mesozoic life of Texas,2019 in paleomalacology"
Favites spp.,6,Stony corals,"List of marine cnidarians of South Africa,Coral reefs of Kiribati,List of threatened species of the Philippines,Phoenix Islands Protected Area,Aliwal Shoal"
Agalychnis callidryas,6,Agalychnis callidryas,"Agalychnis callidryas,Agalychnis,Frog,Costa Rica,List of nocturnal animals,Amphibian,Agalychnis saltator,List of amphibians,Imantodes cenchoa,Amplexus"
Trichoglossus haematodus,6,Coconut lorikeet,"Coconut lorikeet,Rainbow lorikeet,Trichoglossus,Red-collared lorikeet,Biak lorikeet,Feral parrot,Loriini,Australian ringneck,Banksia,Loriinae"
Lobophyllia spp.,6,Stony corals,"List of threatened species of the Philippines,List of marine cnidarians of South Africa"
Symphyllia spp.,6,Stony corals,List of marine cnidarians of South Africa
Ornithoptera priamus,6,Ornithoptera priamus,"Ornithoptera priamus,Ornithoptera victoriae,Ornithoptera richmondia,Ornithoptera,Ornithoptera aesacus,Birdwing,Ornithoptera goliath,Ornithoptera euphorion,Ornithoptera croesus,Rothschild's birdwing"
Echinophyllia spp.,6,Pectiniidae,"Pectiniidae,List of threatened species of the Philippines,List of marine cnidarians of South Africa,Paleobiota of the Kristianstad Basin,2015 in paleontology"
Pocillopora spp.,6,Pocillopora,"Pocillopora,Pocillopora verrucosa,Aliwal Shoal,Trapezia rufopunctata,List of marine cnidarians of South Africa,Coral reefs of Kiribati,Crown-of-thorns starfish,List of sequenced animal genomes,Porites,Coral reefs of Tuvalu"
Goniopora spp.,6,Goniopora,"Goniopora,Goniopora toxin,Goniopora stokesi,List of threatened species of the Philippines,List of marine cnidarians of South Africa,St. Brandon"
Porites spp.,6,Porites,"Porites,Porites porites,Porites lobata,List of marine cnidarians of South Africa,Mascarene Islands,Florida Reef,Hans Lollik Island,Crown-of-thorns starfish,Colpophyllia,Coral reefs of Kiribati"
Alisterus scapularis,6,Australian king parrot,"Australian king parrot,Alisterus,Polytelini,Talking bird,Psittaculinae,Red-winged parrot,Glochidion ferdinandi,List of birds of Australia,Hinrich Lichtenstein,King parrot"
Aprosmictus erythropterus,6,Red-winged parrot,"Red-winged parrot,Aprosmictus,Australian king parrot,Polytelini,Psittaculinae,Alisterus,List of birds of Australia,List of birds of Indonesia,Assiniboine Park Zoo,List of birds of Queensland"
Ara chloropterus,6,Red-and-green macaw,"Red-and-green macaw,Macaw,Harpy eagle,Douglas Tompkins,List of animals by number of neurons,Cuban macaw,Iberá National Park,List of birds of North America,List of birds of Brazil,List of birds of Trinidad and Tobago"
Diopsittaca nobilis,6,Red-shouldered macaw,"Red-shouldered macaw,Macaw,A. nobilis,List of macaws,D. nobilis,Canaima National Park,Arini (tribe),Mini-macaw,List of birds of South America,List of birds of Brazil"
Neophema splendida,6,Scarlet-chested parrot,"Scarlet-chested parrot,Neophema,Bourke's parrot,Platycercinae,Pezoporini,List of birds of Australia,List of birds of Victoria, Australia,List of birds of Queensland,List of birds of Western Australia,List of birds of the Northern Territory"
Pyrrhura molinae,6,Green-cheeked parakeet,"Green-cheeked parakeet,Pyrrhura,Arini (tribe),List of birds of Brazil,List of birds of South America,List of birds of Argentina,List of birds of Bolivia,List of birds of Paraguay,List of parrots"
Tupinambis teguixin,6,Tupinambis,"Tupinambis,Gold tegu,Argentine black and white tegu,Teiidae,Pantanal,Salvator (lizard),Squamata,List of largest extant lizards,Fauna of Colombia,List of reptiles of Brazil"
Aldabrachelys gigantea,6,Aldabra giant tortoise,"Aldabra giant tortoise,Seychelles giant tortoise,Aldabrachelys gigantea arnoldi,Aldabrachelys,Jonathan (tortoise),Giant tortoise,Tortoise,Aldabrachelys grandidieri,A. gigantea,Galápagos tortoise"
Poecilotheria metallica,6,Poecilotheria metallica,"Poecilotheria metallica,Poecilotheria,List of medically significant spider bites,List of Theraphosidae species,The world's 100 most threatened species,IUCN Red List critically endangered species (Animalia),Pakkamalai,List of critically endangered invertebrates,List of critically endangered arthropods,List of spiders of India"
Poecilotheria regalis,6,Poecilotheria regalis,"Poecilotheria regalis,Poecilotheria,Tarantula,List of Theraphosidae species,Deimatic behaviour,List of medically significant spider bites,Pterinochilus murinus,Ornithoctoninae,List of least concern arthropods,List of spiders of India"
Graptemys pseudogeographica,6,Graptemys,"Graptemys,False map turtle,Mississippi map turtle,Ouachita map turtle,Sexual dimorphism,Texas map turtle,Potomac River,Piney Woods,Texas Blackland Prairies,Ringed map turtle"
Lutra lutra,5,Eurasian otter,"Eurasian otter,Lutra,Japanese otter,Otter,The Pearls of Lutra,Smooth-coated otter,Hairy-nosed otter,North American river otter,A Good Librarian Like a Good Shepherd,Lutra castiglionis"
Scleropages formosus,5,Asian arowana,"Asian arowana,Scleropages,Scleropages jardinii,List of endangered animals in India,Reference genome,Fish scale,List of species protected by CITES Appendix I,List of freshwater aquarium fish species,Fauna of Indonesia,List of Latin and Greek words commonly used in systematic names"
Ara macao,5,Scarlet macaw,"Scarlet macaw,Macaw,Ara (bird),List of macaws,Macau (disambiguation),Catalina macaw,Honduras,List of national animals,List of organisms by chromosome count,The Ara Project"
Montipora spp.,5,Pigeon Island National Park,"Pigeon Island National Park,Montipora dilatata,List of threatened species of the Philippines,List of marine cnidarians of South Africa,Mascarene Islands,Coral reef,Coral reefs of Kiribati,Porites lobata,Aliwal Shoal"
Calabaria reinhardtii,5,Calabar python,"Calabar python,C. reinhardtii,Charina,List of erycine species and subspecies,Johannes Theodor Reinhardt,Columbus Zoo and Aquarium,List of snakes by scientific name,List of reptiles of Ghana,List of reptiles of the Democratic Republic of the Congo,List of fauna of Rivers State"
Philantomba monticola,5,Blue duiker,"Blue duiker,Philantomba,Antelope,Walter's duiker,Even-toed ungulate,List of even-toed ungulates by population,Duiker,Maxwell's duiker,Mount Cameroon,Virunga National Park"
Carcharhinus falciformis,5,Silky shark,"Silky shark,Carcharhinus,Requiem shark,Copper shark,Bull shark,Dusky shark,Caribbean reef shark,Blacktip shark,Carcharias,Oceanic whitetip shark"
Callithrix pygmaea,5,Pygmy marmoset,"Pygmy marmoset,Callithrix,Marmoset,White-headed marmoset,Common marmoset,Callitrichidae,Silvery marmoset,Mico (genus),List of primates,Western pygmy marmoset"
Cercopithecus mitis,5,Blue monkey,"Blue monkey,Golden monkey,Guenon,Silver monkey,Red-tailed monkey,List of Old World monkey species,Sykes' monkey,Greater spot-nosed monkey,De Brazza's monkey,List of primates"
Phyllobates terribilis,5,Golden poison frog,"Golden poison frog,Phyllobates,Frog,Poison dart frog,Phyllobates bicolor,Amphibian,Golden poison frog (disambiguation),Toxic bird,Golfodulcean poison frog,Batrachotoxin"
Lonchura oryzivora,5,Java sparrow,"Java sparrow,List of domesticated animals,Ricebird,Maya (bird),List of species protected by CITES Appendix II,List of birds of South America,List of introduced species,Estrildidae,Padda,List of birds of Australia, New Zealand and Antarctica"
Felis silvestris,5,European wildcat,"European wildcat,African wildcat,Cat,Scottish wildcat,Wildcat,Asiatic wildcat,Felis lunensis,Turkish Angora,Southern African wildcat,Chartreux"
Gekko gecko,5,Tokay gecko,"Tokay gecko,Gekko,Gecko,Schlegel's Japanese gecko,Golden gecko,Gordon Gekko,Reeves's Tokay gecko,Gekko smithii,Gekko kuhli,Shanxi gecko"
Phelsuma grandis,5,Phelsuma grandis,"Phelsuma grandis,Phelsuma,Phelsuma madagascariensis,Squamata,List of largest extant lizards,Yellow-headed day gecko,List of animals by number of neurons,List of reptiles in Madagascar,Phelsuma kely,List of animal species introduced to the Hawaiian Islands"
Phelsuma klemmeri,5,Yellow-headed day gecko,"Yellow-headed day gecko,Phelsuma,List of indigenous geckos of Madagascar,List of reptiles in Madagascar,List of endangered reptiles,DierenPark Amersfoort,IUCN Red List endangered species (Animalia),List of near threatened reptiles,List of data deficient reptiles"
Isurus oxyrinchus,5,Shortfin mako shark,"Shortfin mako shark,Isurus,Lamniformes,Blue shark,Lamnidae,Bimini,Longfin mako shark,Orca,Great white shark,Cobia"
Perodicticus potto,5,Potto,"Potto,West African potto,False potto,East African potto,Central African potto,Lorisidae,Calabar angwantibo,Potto (disambiguation),Perodicticinae,List of primates of Africa"
Galaxea spp.,5,Galaxea fascicularis,"Galaxea fascicularis,Galaxea astreata,List of threatened species of the Philippines,List of marine cnidarians of South Africa,2014 in paleontology"
Ornithoptera goliath,5,Ornithoptera goliath,"Ornithoptera goliath,Ornithoptera,Ornithoptera chimaera,Ornithoptera paradisea,Ornithoptera richmondia,Queen Alexandra's birdwing,Birdwing,Ornithoptera aesacus,Ornithoptera victoriae,Ornithoptera priamus"
Pionites leucogaster,5,Green-thighed parrot,"Green-thighed parrot,Caique,Yellow-tailed parrot,Black-legged parrot,Black-headed parrot,List of birds of South America,White-bellied parrot,Platonia,List of birds of Brazil,List of birds of Colombia"
Poicephalus gulielmi,5,Red-fronted parrot,"Red-fronted parrot,Poicephalus,Psittacinae,List of birds of Kenya,List of birds of Angola,List of birds of Nigeria,Birds of Eden,List of birds of Africa,List of birds of the Democratic Republic of the Congo,List of birds of Tanzania"
Bothrochilus boa,5,Bismarck ringed python,"Bismarck ringed python,List of pythonid species and subspecies,List of snakes by scientific name,D'Albertis python,List of endemic reptiles of Papua New Guinea,List of least concern reptiles,Pythonoidea,Olive python,Pythonidae,List of reptile genera"
Sphyrna zygaena,5,Smooth hammerhead,"Smooth hammerhead,Sphyrna,Winghead shark,Hammerhead shark,Scalloped hammerhead,Great hammerhead,Zygaena (disambiguation),Orca,Smalleye hammerhead,List of hammerhead sharks"
Pecari tajacu,5,Collared peccary,"Collared peccary,White-lipped peccary,Peccary,Dieffenbachia,Wild boar,Nayarit,Maderas del Carmen,List of suines,Nuevo León,San Luis Potosí"
Brachypelma hamorii,5,Brachypelma hamorii,"Brachypelma hamorii,Brachypelma smithi,Brachypelma,Brachypelma boehmei,Arachnid,Vulnerable species,Brachypelma auratum,Mexican redknee tarantula,Spider,Michoacán"
Varanus albigularis,5,Rock monitor,"Rock monitor,Black-throated monitor,White-throated monitor,List of largest extant lizards,Monitor lizard,Savannah monitor,Angolan white-throated monitor,Komodo dragon,List of reptiles of Africa,Nile monitor"
Pseudois nayaur,5,Bharal,"Bharal,Snow leopard,Caprinae,Ladakh,Valley of Flowers National Park,Hemis National Park,Dhole,Argali,Tso Moriri,Transhimalaya"
Canis aureus,5,Golden jackal,"Golden jackal,Jackal,Canis,African wolf,Egyptian wolf,European jackal,Evolution of the wolf,Indian jackal,Canis arnensis,Caninae"
Corallium elatius,5,Precious coral,"Precious coral,List of species protected by CITES Appendix III"
Odobenus rosmarus,5,Walrus,"Walrus,Odobenidae,Penis,Southern elephant seal,Tusk,Carnivora,Johann Karl Wilhelm Illiger,Polar bear,Laptev Sea,Bivalvia"
Potamotrygon motoro,5,Ocellate river stingray,"Ocellate river stingray,Potamotrygon,Potamotrygonidae,Stingray,Potamotrygon rex,Injection (medicine),List of species protected by CITES Appendix III,Animal attacks in Latin America,List of freshwater aquarium fish species,Pacaya-Samiria National Reserve"
Megaptera novaeangliae,4,Humpback whale,"Humpback whale,List of whale vocalizations,Blue whale,Rorqual,Whale,Dolphin,List of mammals of British Columbia,Cetacea,Cetacean surfacing behaviour,Greenland"
Oryx dammah,4,Scimitar oryx,"Scimitar oryx,Oryx,Arabian oryx,Extinct in the wild,Grazing antelope,Common eland,Yotvata Hai-Bar Nature Reserve,List of animals that are extinct in the wild,Sahel,East African oryx"
Probosciger aterrimus,4,Palm cockatoo,"Palm cockatoo,Cockatoo,Bird,Black cockatoo,Gang-gang cockatoo,List of largest birds,List of domesticated animals,Western corella,List of species protected by CITES Appendix I,List of birds of Australia"
Callimico goeldii,4,Goeldi's marmoset,"Goeldi's marmoset,Marmoset,Callitrichidae,Laotian rock rat,List of primates,List of mammalian gestation durations,List of New World monkey species,Iquitos,United States Fish and Wildlife Service list of endangered mammals and birds,List of animals by number of neurons"
Panthera uncia,4,Snow leopard,"Snow leopard,Panthera,Panthera uncia pyrenaica,Panthera spelaea,Big cat,Pantherinae,Panthera zdanskyi,Lion,Cheetah reintroduction in India,List of largest cats"
Astrochelys radiata,4,Radiated tortoise,"Radiated tortoise,Astrochelys,Tortoise,Tu'i Malila,Angonoka tortoise,Columbus Zoo and Aquarium,Madagascar spiny forests,List of critically endangered reptiles,List of species protected by CITES Appendix I,List of reptiles in Madagascar"
Ambystoma mexicanum,4,Axolotl,"Axolotl,Tiger salamander,Salamander,Mole salamander,Amphibian,Neoteny,Lung,List of organisms by chromosome count,Genetically modified animal,Regeneration (biology)"
Anguilla anguilla,4,European eel,"European eel,Anguilla,Anguilla national football team,Anguillidae,Flag of Anguilla,Eel,Saint Christopher-Nevis-Anguilla,Governor of Anguilla,Geography of Anguilla,History of Anguilla"
Gongylophis colubrinus,4,Eryx colubrinus,"Eryx colubrinus,Eryx (snake),Amphibia in the 10th edition of Systema Naturae"
Lichanura trivirgata,4,Desert rosy boa,"Desert rosy boa,Lichanura,Lichanura orcutti,Mojave Desert,Aridoamerica,Southwestern United States,California chaparral and woodlands,Charina,List of snakes by scientific name,List of reptiles of North America"
Ovis cycloceros cycloceros,4,Urial,"Urial,Ustyurt Mountain sheep,Sherani District"
Cacatua ducorpsii,4,Solomons cockatoo,"Solomons cockatoo,Tanimbar corella,Corella (bird),Cockatoo,Cacatua,Birds of Eden,List of birds of Papua New Guinea,List of birds of Solomon Islands,Cacatuini,Cacatuinae"
Cacatua galerita,4,Sulphur-crested cockatoo,"Sulphur-crested cockatoo,Cacatua,Cockatoo,Triton cockatoo,Eleonora cockatoo,Cacatua (subgenus),Greater sulphur-crested cockatoo,Mathews' cockatoo,Araucaria hunsteinii,Australian ten-dollar note"
